Date,Open,High,Low,Close,Volume
2020-01-02,71.8775,72.9366,71.6219,72.8761,139763612.84363
2020-01-03,72.1008,72.9327,71.9419,72.17,150982061.8108
2020-01-06,71.2811,72.7805,71.0342,72.7408,122176783.76774
2020-01-07,72.7507,73.0105,72.1818,72.4022,114894359.20646
2020-01-08,72.1027,73.8678,72.1008,73.5657,136380294.47519
2020-01-09,74.5463,75.3176,74.2976,75.131,175659491.19522
2020-01-10,75.3602,75.865,74.7933,75.296,145143693.91766
2020-01-13,75.615,76.9346,75.4935,76.9079,125791558.05975
2020-01-14,76.8438,77.054,75.7453,75.8679,167548264.24253
2020-01-15,75.6664,76.5523,75.1123,75.541,125623240.65376
2020-01-16,76.0901,76.5986,75.7257,76.4881,112131378.79814
2020-01-17,76.7379,77.3385,76.4308,77.3365,141998444.00739
2020-01-21,76.9641,77.4056,76.6718,76.812,114206745.71815
2020-01-22,77.299,77.6427,76.9929,77.0857,104922514.25477
2020-01-23,77.138,77.5372,76.5869,77.456,107642121.86298
2020-01-24,77.7069,78.4506,77.041,77.2329,150984128.29114
2020-01-27,75.2297,75.6466,73.9745,74.9641,166854010.88253
2020-01-28,75.8482,77.2554,75.7492,77.0837,167156853.02034
2020-01-29,78.7242,79.5479,77.9754,78.6964,223172327.25074
2020-01-30,77.779,78.6353,77.3405,78.5819,130589196.43403
2020-01-31,77.8709,78.2965,74.8031,75.1023,205644797.35217
2020-02-03,73.8362,76.0664,73.3295,74.894,179265113.64214
2020-02-04,76.5059,77.5567,76.1,77.3661,140762097.46981
2020-02-05,78.4971,78.8002,77.3879,77.9933,122432620.31195
2020-02-06,78.2689,78.9119,77.7119,78.9089,108624627.4628
2020-02-07,78.4041,78.6551,77.3405,77.8363,120968017.30101
2020-02-10,76.4129,78.2048,76.332,78.2048,112400232.85229
2020-02-11,78.7044,78.7775,77.5152,77.7365,96955203.83774
2020-02-12,78.185,79.5854,78.185,79.5794,116903934.90019
2020-02-13,78.8466,79.3405,78.6423,79.0125,97391497.47406
2020-02-14,78.982,79.2822,78.5218,79.0324,82349362.265521
2020-02-18,76.6986,77.7691,76.5177,77.5863,157025002.14581
2020-02-19,77.8284,78.9404,77.8284,78.7084,96606585.262206
2020-02-20,78.4674,78.9603,77.3929,77.9034,103372249.00173
2020-02-21,77.4936,77.935,75.5163,76.1375,133325092.88878
2020-02-24,72.2993,73.9785,70.3439,72.5216,228395664.62619
2020-02-25,73.1953,73.5795,69.5913,70.0634,237110387.87606
2020-02-26,69.6889,72.4514,69.682,71.1763,204258823.86777
2020-02-27,68.3695,69.5606,66.3863,66.5235,329552013.89458
2020-02-28,62.5719,67.7146,62.3525,66.4839,438797128.15266
2020-03-02,68.6519,73.3135,67.5458,72.6717,350924037.59824
2020-03-03,73.8549,73.935,69.5112,70.3665,328390360.34477
2020-03-04,72.0989,73.7927,71.291,73.6308,225294435.50598
2020-03-05,71.8746,72.8546,70.8742,71.2396,192807092.45544
2020-03-06,68.5839,70.7311,68.4,70.2943,232488443.86799
2020-03-09,64.1482,67.6356,63.9655,64.7339,294746437.30299
2020-03-10,67.4016,69.6683,65.5152,69.3986,293251091.22042
2020-03-11,67.4638,68.398,66.1206,66.9896,263534150.08774
2020-03-12,62.248,65.6682,60.3159,60.3734,430151571.75156
2020-03-13,64.4227,68.0791,61.523,67.606,381077397.91528
2020-03-16,58.8464,63.0114,58.3712,58.9095,331420676.0809
2020-03-17,60.1976,62.6548,57.9832,61.5012,333098629.77211
2020-03-18,58.3141,60.8039,57.669,59.9931,308611633.48708
2020-03-19,60.1678,61.4972,59.0064,59.5328,279443178.35751
2020-03-20,60.1175,61.2492,55.4508,55.754,412902624.86828
2020-03-23,55.4694,55.5732,51.7103,54.5706,346149909.10817
2020-03-24,57.4864,60.2418,56.9846,60.0435,295554640.70244
2020-03-25,60.9856,62.8089,59.4153,59.7154,312074045.09983
2020-03-26,59.9564,62.9146,59.917,62.8553,259608378.09732
2020-03-27,61.4746,62.2301,60.0848,60.2548,209915269.6041
2020-03-30,60.9828,62.1452,60.6588,61.9732,172663817.60757
2020-03-31,62.1639,63.8419,61.2919,61.8448,202499338.87016
2020-04-01,59.9524,60.4908,58.1569,58.5944,181135923.30755
2020-04-02,58.4532,59.6237,57.6157,59.5702,170564351.53753
2020-04-03,59.0509,59.759,58.1214,58.716,133504368.41178
2020-04-06,61.0202,63.9909,60.6538,63.837,207452071.60618
2020-04-07,65.8617,66.082,62.9936,63.0964,208548888.70233
2020-04-08,63.9013,65.0281,63.5319,64.71,173608301.3865
2020-04-09,65.3502,65.6849,64.3803,65.1804,166640347.34461
2020-04-13,65.2592,66.5688,64.6518,66.4584,134679111.35791
2020-04-14,68.0989,70.1047,67.6258,69.8154,200436006.33788
2020-04-15,68.6815,69.6405,68.2529,69.1773,134814426.83991
2020-04-16,69.8924,70.0919,68.6698,69.7285,161509731.25143
2020-04-17,69.2397,69.7876,67.3336,68.7802,221256454.949
2020-04-20,67.6011,68.5068,67.3316,67.351,133643064.57868
2020-04-21,67.1941,67.4291,64.555,65.2731,186042132.39247
2020-04-22,66.5463,67.5882,66.2024,67.1498,120323847.48673
2020-04-23,67.0965,68.5237,66.8534,66.892,128297267.2337
2020-04-24,67.4174,68.8326,67.3679,68.8228,130038952.75826
2020-04-27,68.5353,69.2041,68.086,68.8722,120354899.36607
2020-04-28,69.3344,69.5191,67.6633,67.755,115130238.67371
2020-04-29,69.2493,70.4525,69.0451,69.9784,141111633.35607
2020-04-30,70.5246,71.6319,70.1286,71.4559,188172264.58535
2020-05-01,69.6208,72.7182,69.5231,70.3043,247331098.41794
2020-05-04,70.3299,71.4283,69.6366,71.2989,137295154.99006
2020-05-05,71.7621,73.2061,71.617,72.3734,151874171.80466
2020-05-06,73.0777,73.7532,72.6865,73.1193,146305573.25144
2020-05-07,73.7483,74.2225,73.4422,73.8718,118430126.31532
2020-05-08,74.5363,75.6861,74.2076,75.6308,137416558.93852
2020-05-11,75.139,77.3187,74.9276,76.822,149613863.49981
2020-05-12,77.5102,77.9618,75.8212,75.9428,166379668.08825
2020-05-13,76.1256,77.051,73.9419,75.0283,205664190.47541
2020-05-14,74.2619,75.5489,73.5359,75.4865,162922955.7493
2020-05-15,73.2445,75.0905,73.212,75.043,170528703.9922
2020-05-18,76.3735,77.1844,75.6801,76.81,138774404.5981
2020-05-19,76.8269,77.6803,76.3339,76.3665,104285996.79641
2020-05-20,77.2289,77.9202,77.1122,77.851,114306974.5711
2020-05-21,77.7138,78.2571,77.0313,77.2704,105269410.59461
2020-05-22,77.0077,77.851,76.9049,77.7691,83858722.142548
2020-05-26,78.8942,79.0737,77.1844,77.2408,128676174.27544
2020-05-27,77.0966,77.7267,76.3537,77.5795,115783401.37307
2020-05-28,77.2505,78.8792,76.973,77.6141,137158710.58812
2020-05-29,77.856,78.3192,77.1775,77.5372,157458043.68273
2020-06-01,77.4906,78.6106,77.3584,78.4902,83054605.12952
2020-06-02,78.2214,78.8792,77.779,78.8546,89845277.229913
2020-06-03,79.1756,79.5499,78.5988,79.286,107117075.88263
2020-06-04,79.1094,79.4087,78.2293,78.6037,89760748.970163
2020-06-05,78.8566,80.904,78.8271,80.8438,140699294.08453
2020-06-08,80.5396,81.3552,79.8225,81.3219,98058328.710739
2020-06-09,80.9998,84.2857,80.9672,83.8887,151424366.56608
2020-06-10,84.8417,86.517,84.4013,86.0468,170839703.71558
2020-06-11,85.1865,85.6152,81.8136,81.9174,206730220.9631
2020-06-12,84.0674,84.8171,81.5074,82.6237,205175711.3761
2020-06-15,81.2693,84.3025,81.1054,83.6458,142297182.54656
2020-06-16,85.7111,86.1347,84.0674,85.8622,169585944.47394
2020-06-17,86.6108,86.672,85.621,85.7426,117281534.82478
2020-06-18,85.6991,86.1959,85.1648,85.7772,99253477.264359
2020-06-19,86.4853,86.9565,84.1723,85.2863,271122069.49555
2020-06-22,85.6823,87.6607,85.6359,87.5185,138848997.34994
2020-06-23,88.7678,90.8143,88.347,89.3871,217486934.58982
2020-06-24,89.0118,89.9372,87.4326,87.807,197464011.71929
2020-06-25,87.9639,89.0118,87.2003,88.9721,140978446.11595
2020-06-26,88.8685,89.0898,86.0903,86.2414,210414938.6793
2020-06-29,86.1466,88.3224,85.6675,88.2285,133929206.80134
2020-06-30,87.813,89.2528,87.793,88.9625,143747089.34867
2020-07-01,89.0412,89.5885,88.748,88.7945,113520059.66542
2020-07-02,89.7091,90.346,88.6838,88.7945,116907325.70992
2020-07-06,90.2307,91.64,90.1999,91.1709,121637462.77202
2020-07-07,91.5509,92.3343,90.7767,90.8893,115249677.39025
2020-07-08,91.8701,93.0355,91.7812,93.004,120034393.42809
2020-07-09,93.9047,93.9569,92.3512,93.3379,128800000.08624
2020-07-10,92.996,93.6271,92.3837,93.5678,92525481.988723
2020-07-13,94.8794,97.5106,92.9198,93.1362,196465272.95956
2020-07-14,92.515,94.8695,91.5767,94.678,175286318.86424
2020-07-15,96.5635,96.8162,94.127,95.3308,157047789.11625
2020-07-16,94.1942,95.0177,93.5521,94.1564,113356484.73562
2020-07-17,94.6089,94.767,93.4898,93.9669,94503553.222653
2020-07-20,94.0518,96.0864,93.7081,95.9461,92587591.8223
2020-07-21,96.7441,96.8182,94.371,94.6219,106250450.11723
2020-07-22,94.3215,95.5728,94.2326,94.8874,91238259.130268
2020-07-23,94.6219,94.6979,89.7544,90.5682,201955143.77528
2020-07-24,88.7549,90.6907,86.9614,90.344,190098935.03157
2020-07-27,91.4147,92.5792,91.1876,92.4864,124260299.16097
2020-07-28,92.0557,92.2316,90.9613,90.9663,106229605.09158
2020-07-29,91.4534,92.8935,91.4177,92.7126,92599228.303738
2020-07-30,91.8781,93.9382,91.469,93.8336,162103819.54498
2020-07-31,100.368,103.813,98.3423,103.664,383701494.84714
2020-08-03,105.533,108.9,105.235,106.263,315895219.36778
2020-08-04,106.461,108.081,105.721,106.975,177134629.10473
2020-08-05,106.698,107.696,106.225,107.36,125057604.17999
2020-08-06,107.706,111.606,107.104,111.112,207515925.95012
2020-08-07,110.64,111.092,107.785,108.575,202657092.01553
2020-08-10,110.047,111.192,107.498,110.173,217349226.60755
2020-08-11,109.423,109.929,106.629,106.896,192277672.54316
2020-08-12,107.991,110.71,107.795,110.451,169808836.80576
2020-08-13,111.824,113.395,111.342,112.386,214973813.01872
2020-08-14,112.219,112.376,110.481,112.289,169420384.06255
2020-08-17,113.414,113.444,111.362,112.002,122345426.18118
2020-08-18,111.744,113.355,111.41,112.921,108093210.93158
2020-08-19,113.335,114.502,112.97,113.068,148926850.41466
2020-08-20,113.107,115.696,113.088,115.586,129862215.53328
2020-08-21,116.546,122.017,116.536,121.532,345926222.98869
2020-08-24,125.768,125.848,121.129,122.995,353992907.72196
2020-08-25,121.859,122.323,120.25,121.977,216420453.54666
2020-08-26,123.311,124.11,122.224,123.646,166818231.71424
2020-08-27,124.258,124.575,121.02,122.154,159174412.03873
2020-08-28,123.143,123.567,121.741,121.967,191998866.78135
2020-08-31,124.674,128.002,123.133,126.106,230958162.01652
2020-09-01,129.74,131.725,127.577,131.122,156020400.08981
2020-09-02,134.47,134.838,124.12,128.397,204778749.71528
2020-09-03,124.031,125.907,117.76,118.126,263597832.30935
2020-09-04,117.346,120.891,108.358,118.204,340351900.86202
2020-09-08,111.362,116.287,110.126,110.261,236753920.52265
